title,movie,year,singers,lyricist,composer,mood,themes,lyrics,source_url
Roja Kadale,Anegan,2015,Sunidhi Chauhan and Chinmayi,Vairamuthu,Harris Jayaraj,Romantic,"Love;Devotion","Roja Kadalae En rajaa magalae","https://www.tamil2lyrics.com/lyrics/roja-kadalae-song-lyrics/"
Venmegam Pennaga,Yaaradi Nee Mohini,2008,Hariharan,Na.Muthukumar,Yuvan Shankar Raja,Romantic,"Love;Fantasy","Venmegam pennaga uruvaanatho...Manjal veyil nee minnal oli nee","https://www.tamil2lyrics.com/lyrics/venmegam-pennaga-song-lyrics/"
Marana Mass,Petta,2018,S. P. Balasubrahmanyam and Anirudh Ravichander,Vivek,Anirudh Ravichander,Energetic,"Mass","Thatlaatam dhaanga Tharlaanga song ah... Evandaa mela Evandaa keezha","https://www.tamil2lyrics.com/lyrics/marana-mass-song-lyrics/"
Vennilave,Thuppakki,2012,Bombay Jayashree and Hariharan,Na. Muthukumar,Harris Jayaraj,Romantic,"Love;Moonlight","Vennilavae tharayil uthithaai Oru siripil ithayam parithaai",""
